id,timestampPacket,Vbat,Ibat,oxy_error[0],dpho[0],umolar[0],mbar[0],airSat[0],tempSample[0],tempCase[0],signalIntens[0],ambiLight[0],pressure[0],humidity[0],reistorTEmp[0],percentOxy[0],timestamp[0],oxy_error[1],dpho[1],umolar[1],mbar[1],airSat[1],tempSample[1],tempCase[1],signalIntens[1],ambiLight[1],pressure[1],humidity[1],reistorTEmp[1],percentOxy[1],timestamp[1],oxy_error[2],dpho[2],umolar[2],mbar[2],airSat[2],tempSample[2],tempCase[2],signalIntens[2],ambiLight[2],pressure[2],humidity[2],reistorTEmp[2],percentOxy[2],timestamp[2],oxy_error[3],dpho[3],umolar[3],mbar[3],airSat[3],tempSample[3],tempCase[3],signalIntens[3],ambiLight[3],pressure[3],humidity[3],reistorTEmp[3],percentOxy[3],timestamp[3],oxy_error[4],dpho[4],umolar[4],mbar[4],airSat[4],tempSample[4],tempCase[4],signalIntens[4],ambiLight[4],pressure[4],humidity[4],reistorTEmp[4],percentOxy[4],timestamp[4],oxy_error[5],dpho[5],umolar[5],mbar[5],airSat[5],tempSample[5],tempCase[5],signalIntens[5],ambiLight[5],pressure[5],humidity[5],reistorTEmp[5],percentOxy[5],timestamp[5],light[0],light[1],light[2],light[3],light[4],light[5],light[6],light[7],light[8],light[9],light[10],light[11],thermistor[0],thermistor[1],thermistor[2],thermistor[3],thermistor[4],thermistor[5],thermistor[6],thermistor[7],thermistor[8],heaterPWM[0],heaterPWM[1],heaterPWM[2],heaterPWM[3],heaterPWM[4],heaterPWM[5],pid[0],pid[1],pid[2],
1016,2563226,26.953287,0.135611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.469477,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.811304,1.018249,25.265888,1.025091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1017,2565788,26.953999,0.138456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.452204,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.820948,1.018252,24.840309,1.064764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1018,2568307,26.956524,0.136269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.470148,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.470148,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.819025,1.018232,25.265888,1.029852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1019,2570826,26.955814,0.134070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.452509,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.813623,1.018236,24.840309,1.013128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1020,2573345,26.952417,0.137832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.449152,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.449152,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.811548,1.018232,24.840309,1.044317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1021,2575865,26.954155,0.137901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.434137,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.813105,1.018236,25.265888,1.027044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1022,2578384,26.951628,0.139387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.469477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.469477,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.813745,1.018289,24.840309,1.074987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1023,2580903,26.954393,0.134380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.441523,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.812067,1.018252,24.840309,1.047705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1024,2583422,26.955341,0.135393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.464594,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.464594,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.801386,1.018216,24.840309,1.032568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1025,2585941,26.956844,0.135690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.470148,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000,23.802668,1.018189,25.265888,1.019964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
