!PID_CONTROLLER_SWEEP!
nCycle 5,TEMP_COOL 31.00, TEMP_SET 32.00, time_till_stop 1800000
|0|Kp:0.010000 Ki:0.000000 Ki_max:0.000000
|1|Kp:0.100000 Ki:0.000000 Ki_max:0.000000
|2|Kp:1.000000 Ki:0.000000 Ki_max:0.000000
|3|Kp:5.000000 Ki:0.000000 Ki_max:0.000000
|4|Kp:10.000000 Ki:0.000000 Ki_max:0.000000

Timestamp,Temperatur
5931463,28.803858,
5932555,28.749140,
5933642,28.811731,
5934730,28.771082,
5935818,28.787745,
5936906,28.827204,
5937994,28.771418,
5939082,28.774652,
5940170,28.811213,
5941262,28.771509,
5942352,28.806543,
5943440,28.716364,
5944528,28.777033,
5945614,28.794977,
5946702,28.722437,
5947790,28.789454,
5948878,28.784266,
5949966,28.757135,
5951058,28.782312,
5952146,28.746973,
5953234,28.786341,
5954322,28.774317,
5955410,28.770014,
5956498,28.808283,
5957586,28.762537,
5958672,28.783197,
5959755,28.784815,
5960848,28.764704,
5961936,28.783197,
5963024,28.786310,
5964112,28.756281,
5965200,28.771418,
5966288,28.798426,
5967376,28.769892,
5968463,28.829706,
5969558,28.791529,
5970646,28.816950,
5971734,28.781031,
5972820,28.785364,
5973914,28.782434,
5975002,28.786982,
5976090,28.801691,
5977178,28.783747,
5978265,28.777674,
5979358,28.773798,
5980446,28.778772,
5981534,28.808619,
5982622,28.773035,
5983710,28.791315,
5984798,28.786860,
5985886,28.751856,
5986971,28.795191,
5988059,28.791620,
5989152,28.782770,
5990239,28.785028,
5991327,28.734644,
5992415,28.774439,
5993503,28.780481,
5994591,28.770014,
5995679,28.790216,
5996767,28.778437,
5997862,28.797144,
5998950,28.778223,
6000038,28.777674,
6001124,28.798334,
6002211,28.793238,
6003299,28.779413,
6004387,28.823328,
6005475,28.781153,
6006563,28.779963,
6007656,28.770533,
6008744,28.775537,
6009832,28.839106,
6010920,28.776178,
6012007,28.764917,
6013095,28.835657,
6014183,28.762659,
6015269,28.757563,
6016357,28.796930,
6017449,28.753687,
6018537,28.781580,
6019625,28.794855,
6020713,28.727411,
6021801,28.789576,
6022889,28.777124,
6023977,28.739954,
6025065,28.794001,
6026155,28.776697,
6027244,28.780695,
6028329,28.834131,
6029413,28.795740,
6030501,28.717676,
6031589,28.770319,
6032677,28.783838,
6033766,28.753138,
6034853,28.792170,
6035946,28.753687,
6037034,28.777796,
6038122,28.780176,
6039210,28.754206,
6040298,28.809046,
6041386,28.768610,
6042471,28.743525,
6043559,28.794428,
6044647,28.794764,
6045739,28.785791,
6046827,28.784723,
6047915,28.774317,
6049003,28.829493,
6050091,28.759943,
6051179,28.774225,
6052267,28.813990,
6053357,28.751947,
6054450,28.781366,
6055538,28.758234,
6056623,28.786219,
6057711,28.787409,
6058799,28.740168,
6059887,28.770014,
6060975,28.768061,
6062063,28.756800,
6063151,28.820185,
6064244,28.754419,
6065331,28.787287,
6066419,28.768702,
6067507,28.764826,
6068595,28.815516,
6069683,28.781153,
6070769,28.740595,
6071857,28.812952,
6072945,28.779627,
6074037,28.752375,
6075125,28.770319,
6076213,28.756067,
6077301,28.781672,
6078389,28.755518,
6079477,28.774012,
6080565,28.795954,
6081655,28.728479,
6082747,28.792719,
6083835,28.753901,
6084921,28.767847,
6086009,28.805353,
6087097,28.738214,
6088185,28.768915,
6089273,28.773676,
6090361,28.740595,
6091449,28.814997,
6092541,28.738764,
6093629,28.797785,
6094717,28.742853,
6095805,28.749231,
6096893,28.786005,
6097978,28.754755,
6099062,28.696039,
6100150,28.769587,
6101238,28.760370,
6102330,28.755610,
6103418,28.757135,
6104506,28.723841,
6105594,28.760920,
6106682,28.751184,
6107770,28.744806,
6108860,28.772913,
6109948,28.750544,
6111040,28.792475,
6112126,28.743525,
6113214,28.720697,
6114302,28.800837,
6115390,28.750971,
6116478,28.751947,
6117565,28.791407,
6118653,28.745264,
6119741,28.738214,
6120833,28.754206,
6121921,28.748713,
6123009,28.789240,
6124097,28.751856,
6125185,28.743830,
6126271,28.795069,
6127359,28.742762,
6128446,28.726435,
6129534,28.787745,
6130627,28.724054,
6131715,28.756372,
6132803,28.743402,
6133890,28.734766,
6134978,28.784815,
6136066,28.727198,
6137165,28.740717,
6138257,28.737574,
6139353,28.688807,
6140442,28.727839,
6141534,28.717127,
6142625,28.777796,
6143717,28.680475,
6144809,28.768152,
6145900,28.712366,
6146992,28.722742,
6148084,28.738642,
6149180,28.692896,
6150272,28.770868,
6151363,28.693140,
6152455,28.740168,
6153547,28.724604,
6154636,28.732599,
6155728,28.729242,
6156819,28.716364,
6157911,28.717340,
6159007,28.692377,
6160099,28.722010,
6161191,28.724604,
6162288,28.674860,
6163380,28.734217,
6164472,28.708368,
6165562,28.732264,
6166653,28.717035,
6167743,28.723841,
6168835,28.721796,
6169927,28.713343,
6171019,28.724817,
6172110,28.687922,
6173202,28.759851,
6174294,28.672907,
6175385,28.730433,
6176477,28.695185,
6177574,28.715387,
6178665,28.756586,
6179757,28.667719,
6180849,28.720819,
6181938,28.664026,
6183030,28.723932,
6184121,28.692163,
6185213,28.706324,
6186305,28.696589,
6187401,28.663263,
6188493,28.663599,
6189585,28.681971,
6190676,28.678736,
6191768,28.695398,
6192862,28.660669,
6193954,28.709345,
6195046,28.689661,
6196135,28.669977,
6197231,28.736597,
6198323,28.624018,
6199415,28.696375,
6200507,28.677881,
6201598,28.672266,
6202690,28.672907,
6203782,28.605188,
6204873,28.697138,
