id,timestampPacket,Vbat,Ibat,oxy_error[0],dpho[0],umolar[0],mbar[0],airSat[0],tempSample[0],tempCase[0],signalIntens[0],ambiLight[0],pressure[0],humidity[0],reistorTEmp[0],percentOxy[0],timestamp[0],oxy_error[1],dpho[1],umolar[1],mbar[1],airSat[1],tempSample[1],tempCase[1],signalIntens[1],ambiLight[1],pressure[1],humidity[1],reistorTEmp[1],percentOxy[1],timestamp[1],oxy_error[2],dpho[2],umolar[2],mbar[2],airSat[2],tempSample[2],tempCase[2],signalIntens[2],ambiLight[2],pressure[2],humidity[2],reistorTEmp[2],percentOxy[2],timestamp[2],oxy_error[3],dpho[3],umolar[3],mbar[3],airSat[3],tempSample[3],tempCase[3],signalIntens[3],ambiLight[3],pressure[3],humidity[3],reistorTEmp[3],percentOxy[3],timestamp[3],oxy_error[4],dpho[4],umolar[4],mbar[4],airSat[4],tempSample[4],tempCase[4],signalIntens[4],ambiLight[4],pressure[4],humidity[4],reistorTEmp[4],percentOxy[4],timestamp[4],oxy_error[5],dpho[5],umolar[5],mbar[5],airSat[5],tempSample[5],tempCase[5],signalIntens[5],ambiLight[5],pressure[5],humidity[5],reistorTEmp[5],percentOxy[5],timestamp[5],light[0],light[1],light[2],light[3],light[4],light[5],light[6],light[7],light[8],light[9],light[10],light[11],thermistor[0],thermistor[1],thermistor[2],thermistor[3],thermistor[4],thermistor[5],thermistor[6],thermistor[7],thermistor[8],heaterPWM[0],heaterPWM[1],heaterPWM[2],heaterPWM[3],heaterPWM[4],heaterPWM[5],pid[0],pid[1],pid[2],
0,4124,4.694931,0.008579,0,21745,-11049,84640,-31614,26187,25940,44255,1059,964611,44526,0,0,4135,2,-176267,-300000,-300000,-300000,26187,25650,534,2650,964681,43839,0,0,4310,0,0,0,0,0,0,0,0,0,0,0,0,0,4488,0,0,0,0,0,0,0,0,0,0,0,0,0,5399,0,0,0,0,0,0,0,0,0,0,0,0,0,6310,0,0,0,0,0,0,0,0,0,0,0,0,0,7220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.250971,-1000000.000000,26.308435,-1000000.000000,-1000000.000000,-1000000.000000,27.642237,24.572657,28.670523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,8243,4.684972,0.008601,0,21660,-11136,85305,-31863,26218,25980,44166,1784,964611,44485,0,0,8253,2,-179234,-300000,-300000,-300000,26250,25690,580,2221,964608,43798,0,0,8495,0,0,0,0,0,0,0,0,0,0,0,0,0,8615,0,0,0,0,0,0,0,0,0,0,0,0,0,9525,0,0,0,0,0,0,0,0,0,0,0,0,0,10435,0,0,0,0,0,0,0,0,0,0,0,0,0,11347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.268824,-1000000.000000,26.318293,-1000000.000000,-1000000.000000,-1000000.000000,27.562647,24.572443,29.521683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,12271,4.690108,0.008601,0,21716,-11078,84866,-31699,26250,26000,44195,2595,964596,44430,0,0,12280,2,-178280,-300000,-300000,-300000,26250,25700,362,1925,964631,43765,0,0,12522,0,0,0,0,0,0,0,0,0,0,0,0,0,12642,0,0,0,0,0,0,0,0,0,0,0,0,0,13553,0,0,0,0,0,0,0,0,0,0,0,0,0,14464,0,0,0,0,0,0,0,0,0,0,0,0,0,15374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.265863,-1000000.000000,26.316858,-1000000.000000,-1000000.000000,-1000000.000000,27.512476,24.570887,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,16299,4.690030,0.008520,0,21650,-11146,85383,-31892,26312,26040,44226,1641,964597,44388,0,0,16309,2,-174119,-300000,-300000,-300000,26312,25730,371,2373,964597,43724,0,0,16550,0,0,0,0,0,0,0,0,0,0,0,0,0,16671,0,0,0,0,0,0,0,0,0,0,0,0,0,17582,0,0,0,0,0,0,0,0,0,0,0,0,0,18493,0,0,0,0,0,0,0,0,0,0,0,0,0,19404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.279779,-1000000.000000,26.319605,-1000000.000000,-1000000.000000,-1000000.000000,27.481287,24.572229,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,20328,4.690108,0.008689,0,21675,-11120,85187,-31819,26312,26070,44171,3091,964571,44346,0,0,20338,2,177456,-300000,-300000,-300000,26312,25770,468,1496,964606,43648,0,0,20579,0,0,0,0,0,0,0,0,0,0,0,0,0,20699,0,0,0,0,0,0,0,0,0,0,0,0,0,21610,0,0,0,0,0,0,0,0,0,0,0,0,0,22521,0,0,0,0,0,0,0,0,0,0,0,0,0,23432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.271662,-1000000.000000,26.315454,-1000000.000000,-1000000.000000,-1000000.000000,27.475855,24.572443,29.947262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
