Timestamp,Temperatur,Power
4851,26.501947,0.129275
5911,26.500635,0.129515
6972,26.503260,0.127950
8032,26.508631,0.129926
9092,26.505671,0.127976
10152,26.502832,0.129330
11213,26.507868,0.127934
12273,26.509180,0.128684
13338,26.469019,0.128073
14398,26.464441,0.127805
15458,26.464869,0.128088
16519,26.468470,0.128095
17577,26.511683,0.127978
18643,26.517145,0.128469
19703,26.515070,0.127516
20764,26.515833,0.127390
21824,26.514643,0.126622
22889,26.532038,0.126764
23949,26.530268,0.126982
25012,26.593225,0.128762
26072,26.590265,0.128191
27133,26.574213,0.126785
28193,26.557917,0.126469
29253,26.544703,0.132444
30314,26.540644,0.127609
31372,26.539240,0.128549
32437,26.589502,0.127205
33497,26.587641,0.126375
34557,26.584253,0.126661
35618,26.584131,0.128239
36678,26.589289,0.126785
37738,26.592554,0.127564
38799,26.594538,0.126823
39859,26.594080,0.127580
40924,26.544794,0.128068
41984,26.546900,0.127148
43045,26.548975,0.127543
44105,26.550165,0.131075
45163,26.563929,0.127329
46226,26.542719,0.126878
47286,26.542933,0.126485
48347,26.545343,0.128602
49407,26.543726,0.126371
50472,26.471308,0.126930
51532,26.478876,0.127780
52593,26.490137,0.128619
53653,26.493067,0.128231
54714,26.507532,0.127987
55774,26.517908,0.127175
56834,26.527979,0.127751
57895,26.534418,0.131388
58953,26.536829,0.127888
60018,26.498987,0.130800
61078,26.489466,0.127534
62138,26.477228,0.126861
63199,26.475794,0.127721
64259,26.501276,0.126396
65320,26.535395,0.127980
66380,26.544794,0.126946
67443,26.502405,0.127750
68508,26.557489,0.127115
69568,26.557917,0.128476
70628,26.559137,0.128032
71686,26.517267,0.126375
72743,26.555201,0.126845
73803,26.566553,0.129136
74863,26.567225,0.128007
75924,26.573114,0.128328
76984,26.579126,0.128564
78067,26.573969,0.127025
79133,26.549067,0.127377
80194,26.537470,0.126747
81254,26.538568,0.127553
82315,26.543268,0.128418
83375,26.551813,0.128015
84435,26.548090,0.128608
85493,26.588526,0.127868
86554,26.590143,0.133282
87621,26.599878,0.127846
88681,26.605555,0.128462
89742,26.610254,0.127978
90802,26.613764,0.135509
91863,26.617243,0.128645
92923,26.616724,0.128484
93983,26.622156,0.128161
95044,26.624567,0.128308
96109,26.673822,0.128344
97169,26.673731,0.128264
98229,26.660730,0.127978
99287,26.684748,0.128066
100348,26.687037,0.126696
101408,26.687464,0.128952
102469,26.687250,0.129253
103529,26.686701,0.135282
104589,26.689539,0.127692
105654,26.639856,0.131756
106715,26.639643,0.128928
107775,26.643457,0.128424
108838,26.641718,0.128535
109898,26.646418,0.128498
110959,26.644342,0.128154
112019,26.648706,0.127676
113077,26.655054,0.127869
114138,26.656031,0.128755
115202,26.630030,0.127336
116263,26.653833,0.128527
117323,26.654718,0.128242
118383,26.657221,0.129253
119444,26.659510,0.130031
120504,26.659204,0.129947
121565,26.662683,0.126759
122625,26.661921,0.129016
123690,26.663019,0.127160
124750,26.662897,0.128083
125811,26.663782,0.127568
126869,26.639856,0.127414
127929,26.640955,0.127392
128992,26.666956,0.128081
130052,26.668482,0.126944
131113,26.669580,0.128689
132173,26.673487,0.128989
133238,26.688990,0.127885
134298,26.689234,0.127459
135359,26.694025,0.127888
136419,26.693262,0.131226
137480,26.692072,0.128066
138540,26.693903,0.128352
139598,26.698603,0.128700
140654,26.665186,0.127505
141714,26.667719,0.129158
142779,26.699366,0.127871
143840,26.702875,0.127826
144900,26.702112,0.127255
145961,26.705927,0.130197
147021,26.706903,0.127273
148081,26.708002,0.128469
149144,26.738306,0.127085
150204,26.732843,0.128343
151269,26.709955,0.128572
152329,26.711390,0.128205
153387,26.751612,0.127145
154448,26.749537,0.129253
155508,26.748896,0.127623
156568,26.751947,0.128321
157629,26.753046,0.126772
158689,26.752161,0.128836
159749,26.752497,0.131603
160814,26.717402,0.128416
161874,26.716761,0.130909
162935,26.723627,0.127573
163995,26.723841,0.128143
165055,26.725397,0.127759
166116,26.726709,0.127824
167174,26.737635,0.127714
168234,26.738855,0.127291
169301,26.701014,0.127205
170366,26.745630,0.127787
171426,26.746149,0.128624
172487,26.747126,0.127206
173547,26.748224,0.127729
174608,26.750513,0.127186
175668,26.748987,0.126588
176728,26.752375,0.126434
177788,26.753595,0.130189
178853,26.756189,0.127744
179914,26.757196,0.127220
180972,26.782282,0.127077
182032,26.779902,0.127713
183092,26.771051,0.125841
184153,26.758265,0.127937
185213,26.757624,0.127305
186273,26.759272,0.128350
187334,26.757196,0.127198
188398,26.701777,0.129443
189461,26.749109,0.127987
190521,26.757074,0.127713
191582,26.760675,0.126881
192642,26.763391,0.128668
193703,26.770411,0.127868
194761,26.765162,0.128087
195821,26.765162,0.127152
196882,26.774317,0.127481
197947,26.814600,0.127624
199007,26.802027,0.128274
200067,26.802790,0.127678
201134,26.770166,0.128281
202194,26.769312,0.127506
203255,26.749506,0.128883
204315,26.725275,0.126039
205375,26.733271,0.127097
206440,26.782190,0.126786
207498,26.776392,0.128061
208555,26.747461,0.127116
209617,26.765375,0.128379
210678,26.774439,0.131906
211738,26.782404,0.129143
212798,26.786341,0.127513
213859,26.787104,0.128828
214919,26.791681,0.127235
215984,26.845575,0.128230
217045,26.832911,0.127228
218105,26.829737,0.128192
219166,26.831385,0.127985
220226,26.819391,0.127512
221284,26.842066,0.126966
222344,26.831934,0.127848
223405,26.832819,0.133179
224465,26.837488,0.128311
225530,26.793421,0.131422
226590,26.797235,0.129688
227651,26.800287,0.127146
228711,26.802027,0.128624
229774,26.758936,0.128202
230834,26.765162,0.128264
231895,26.772150,0.128173
232955,26.776300,0.128198
234020,26.814264,0.127034
235078,26.802240,0.128550
236138,26.812738,0.126787
237199,26.814478,0.128276
238259,26.811426,0.127005
239320,26.816553,0.129109
240380,26.821009,0.131163
241441,26.821894,0.128081
242501,26.831812,0.127623
243566,26.864008,0.129226
244626,26.859552,0.126998
245687,26.859339,0.128282
246747,26.858667,0.127543
247808,26.853205,0.127855
248866,26.874170,0.126980
249928,26.842402,0.127707
250989,26.835321,0.126611
252049,26.834436,0.127180
253114,26.827784,0.127691
254174,26.828882,0.127479
255235,26.827143,0.127541
256295,26.800959,0.130095
257356,26.782953,0.130077
258416,26.792749,0.128693
259477,26.803125,0.127049
260537,26.806391,0.129337
261602,26.843927,0.126855
262660,26.840540,0.127863
263720,26.841425,0.126792
264781,26.846552,0.127285
265841,26.846003,0.127155
266902,26.850367,0.127097
267962,26.856165,0.126855
269023,26.855280,0.130638
270081,26.849726,0.127270
271146,26.881342,0.133462
272206,26.906885,0.127085
273267,26.893579,0.127803
274327,26.881800,0.125876
275385,26.881678,0.126850
276442,26.863581,0.126769
277502,26.861841,0.130382
278562,26.863794,0.130469
279623,26.864344,0.127428
280688,26.872095,0.131869
281748,26.869043,0.128543
282808,26.865992,0.128271
283869,26.862268,0.129004
284929,26.860315,0.128205
285990,26.860529,0.127460
287050,26.860193,0.127467
288111,26.864985,0.128228
289171,26.866083,0.127163
290236,26.854181,0.128935
291296,26.865107,0.126906
292357,26.864771,0.128404
293417,26.868921,0.127544
294478,26.872400,0.129953
295538,26.874598,0.129315
296599,26.878290,0.128733
297659,26.878199,0.127758
298724,26.905359,0.127818
299784,26.905237,0.127617
300845,26.890955,0.127399
301905,26.880152,0.126555
302963,26.913202,0.128039
304024,26.901331,0.128039
305084,26.885187,0.127291
306144,26.885492,0.127100
307205,26.881464,0.131432
308270,26.865107,0.127669
309332,26.858667,0.129150
310393,26.867731,0.127087
311453,26.880152,0.134493
312513,26.884180,0.127579
313574,26.886713,0.127728
314634,26.885614,0.126952
315694,26.889429,0.127601
316752,26.878748,0.128491
317817,26.897181,0.128298
318877,26.897058,0.127632
319938,26.899683,0.128058
320998,26.922144,0.126694
322058,26.945154,0.127195
323119,26.941675,0.129339
324179,26.930964,0.128504
325239,26.928583,0.126049
326304,26.890070,0.131726
327364,26.894434,0.127758
328425,26.895868,0.128640
329492,26.900995,0.127891
330550,26.884211,0.128742
331610,26.892145,0.127543
332671,26.899561,0.128325
333731,26.898798,0.127111
334791,26.901087,0.127810
335856,26.944086,0.126289
336916,26.955103,0.129061
337977,26.948542,0.127956
339037,26.939905,0.127759
340098,26.936853,0.127412
341158,26.924219,0.127753
342218,26.921045,0.134143
343276,26.948450,0.127692
344332,26.920069,0.127439
345397,26.925745,0.129845
346457,26.921503,0.127258
347518,26.919855,0.128177
348578,26.915491,0.128667
349641,26.911768,0.128588
350701,26.875147,0.127399
351762,26.876551,0.127543
